,Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
0,2.0,Very High,1,Normal,Normal,Hop-Scotch,Assassin,2013-01-09 21:54:00,10,cyro
1,2.0,Very High,2,High,Normal,ZODIAC,Domination,2013-01-09 21:58:00,10,cyro
2,2.0,Very High,3,High,High,Hectic5.0,Normal,2013-01-09 22:00:00,8,cyro
3,2.0,Very High,4,Normal,Normal,lnsight,Normal,2013-01-09 22:03:00,8,cyro
4,2.0,Very High,6,High,High,GoodCompany,Normal,2013-01-09 22:05:00,4,cyro
5,2.0,High,7,Normal,Normal,Carlisle.0.3,Normal,2013-01-09 22:10:00,7,cyro
6,2.0,Very High,9,High,High,Hectic5.0,Normal,2013-01-09 22:18:00,10,cyro
7,2.0,Very High,10,High,High,Hectic5.0,Normal,2013-01-09 22:20:00,6,cyro
8,2.0,Very High,11,Normal,Normal,JellyFishing,Domination,2013-01-09 22:22:00,6,cyro
9,2.0,Very High,12,High,High,Take-and-Hold,Normal,2013-01-09 22:23:00,9,cyro
10,2.0,Very High,13,High,Normal,SmearUltimate,Normal,2013-01-09 22:25:00,8,cyro
11,2.0,Very High,14,Normal,Normal,koth.0.9b(250),Domination,2013-01-09 22:26:00,13,cyro
12,2.0,High,15,Normal,Normal,Crowded,Normal,2013-01-09 22:34:00,8,cyro
13,2.0,Very High,16,High,High,Hectic5.0,Normal,2013-01-09 22:37:00,8,cyro
14,2.0,Very High,17,Normal,Normal,lnsight,Normal,2013-01-09 22:39:00,8,cyro
15,2.0,High,18,Normal,Normal,Crowded,Normal,2013-01-09 22:40:00,6,cyro
16,2.0,Very High,19,High,High,Hectic5.0,Normal,2013-01-09 22:44:00,8,cyro
17,2.0,Very High,20,High,Normal,ZODIAC,Domination,2013-01-09 22:48:00,13,cyro
18,2.0,Very High,22,Normal,Normal,koth.0.9b(250),Domination,2013-01-09 22:52:00,14,cyro
19,2.0,High,23,High,Normal,Entice_0.5,Normal,2013-01-09 22:57:00,16,cyro
20,2.0,Very High,24,High,High,Stronghold2.0,Normal,2013-01-09 22:59:00,16,cyro
21,2.0,Very High,25,High,Normal,ZODIAC,Domination,2013-01-09 23:00:00,12,cyro
22,2.0,Very High,26,High,High,Hectic5.0,Normal,2013-01-09 23:02:00,8,cyro
23,2.0,Very High,27,Normal,Normal,lnsight,Normal,2013-01-09 23:03:00,9,cyro
24,2.0,Very High,28,High,High,GoodCompany,Normal,2013-01-09 23:07:00,8,cyro
25,2.0,Very High,29,High,High,Hectic5.0,Normal,2013-01-09 23:09:00,14,cyro
26,2.0,High,30,High,Normal,Entice_0.5,Normal,2013-01-09 23:12:00,8,cyro
27,2.0,Very High,32,High,High,Hectic5.0,Normal,2013-01-09 23:16:00,8,cyro
28,2.0,Very High,36,High,High,Stronghold2.0,Normal,2013-01-09 23:22:00,10,cyro
29,2.0,High,38,High,Normal,Entice_0.5,Normal,2013-01-09 23:25:00,8,cyro
30,2.0,Very High,39,High,High,Hectic5.0,Normal,2013-01-09 23:28:00,8,cyro
31,2.0,Very High,40,Normal,Normal,lnsight,Normal,2013-01-09 23:30:00,7,cyro
32,2.0,High,41,Normal,Normal,Crowded,Normal,2013-01-09 23:32:00,8,cyro
33,2.0,Very High,42,High,High,Hectic5.0,Normal,2013-01-09 23:33:00,8,cyro
34,2.0,High,43,Normal,Normal,Crowded,Normal,2013-01-09 23:34:00,7,cyro
35,2.0,Very High,44,Normal,Normal,lnsight,Normal,2013-01-09 23:36:00,8,cyro
36,2.0,Very High,45,High,Normal,SmearUltimate,Normal,2013-01-09 23:37:00,8,cyro
37,2.0,Very High,46,High,High,Stronghold2.0,Normal,2013-01-09 23:39:00,13,cyro
38,2.0,High,47,Normal,Normal,Crowded,Normal,2013-01-09 23:40:00,6,cyro
39,2.0,High,48,High,Normal,Entice_0.5,Normal,2013-01-09 23:41:00,8,cyro
40,2.0,Very High,54,Normal,Normal,NinjaWarz,Assassin,2013-01-13 23:26:00,8,cyro
41,2.0,Very High,58,High,High,Waffles,Assassin,2013-01-14 01:48:00,10,cyro
42,2.0,Very High,60,High,Normal,Trenches,Normal,2013-01-14 01:51:00,8,cyro
43,2.0,Very High,61,Normal,Normal,Motive.0.1,Domination,2013-01-14 01:52:00,12,cyro
44,2.0,High,62,Normal,Normal,Crowded,Normal,2013-01-14 01:54:00,8,cyro
45,2.0,Very High,65,High,High,Hectic5.0,Normal,2013-01-14 01:57:00,8,cyro
46,2.0,Very High,67,High,High,Hectic5.0,Normal,2013-01-14 02:00:00,8,cyro
47,2.0,High,68,Normal,Normal,Crowded,Normal,2013-01-14 20:42:00,8,cyro
48,2.0,High,69,High,Normal,Entice_0.5,Normal,2013-01-14 21:44:00,10,southpaw
49,2.0,High,70,Normal,Normal,Carlisle.0.3,Normal,2013-01-14 22:23:00,10,southpaw
50,2.0,Very High,71,High,High,Hectic5.0,Normal,2013-01-14 22:59:00,10,southpaw
51,2.0,Very High,72,High,Normal,SmearUltimate,Normal,2013-01-15 20:08:00,8,southpaw
52,2.0,High,73,Normal,Normal,aOe.clan.HQ,Normal,2013-01-15 20:09:00,10,southpaw
53,2.0,Very High,74,High,High,Hectic5.0,Normal,2013-01-15 20:10:00,8,southpaw
54,2.0,Very High,75,Normal,Normal,koth.0.9b(250),Domination,2013-01-15 20:51:00,10,southpaw
55,2.0,Very High,76,Normal,Normal,CrossOver.0.1,Normal,2013-01-16 22:52:00,8,southpaw
56,2.0,Very High,77,High,High,Hectic5.0,Normal,2013-01-16 23:38:00,8,Dario
57,2.0,High,78,Normal,Normal,Crowded,Normal,2013-01-20 21:34:00,6,cyro
58,2.0,Very High,79,High,High,Hectic5.0,Normal,2013-01-21 21:04:00,12,cyro
59,2.0,Very High,80,High,Normal,BaitandSwitch-XL,Normal,2013-01-21 21:51:00,12,cyro
60,2.0,Very High,81,High,Normal,Trenches,Normal,2013-01-21 22:40:00,14,Dario
61,2.0,Normal,82,Normal,Normal,SGLGO2011,Normal,2013-01-23 22:16:00,10,southpaw
62,2.0,Normal,83,Normal,Normal,ACGO2013,Normal,2013-01-23 22:17:00,8,southpaw
63,2.0,Very High,84,Normal,Normal,aOeMiNi,Normal,2013-01-23 22:18:00,6,southpaw
64,2.0,Very High,85,High,High,Hectic5.0,Normal,2013-01-23 22:20:00,8,Dario
65,2.0,High,86,Normal,Normal,BendyStraws,Normal,2013-01-23 23:14:00,10,Dario
66,2.0,Very High,87,High,High,Hectic5.0,Normal,2013-01-24 23:40:00,10,southpaw
67,2.0,Very High,88,High,High,RaxCityBitch,Normal,2013-01-25 20:44:00,8,cyro
68,2.0,High,89,High,Normal,Entice_0.5,Normal,2013-01-25 21:32:00,8,cyro
69,2.0,Very High,90,High,High,Take-and-Hold,Normal,2013-01-27 21:19:00,10,cyro
70,2.0,Very High,91,Normal,Normal,Hop-Scotch,Assassin,2013-01-27 22:12:00,14,cyro
71,2.0,Very High,92,High,High,Stronghold2.0,Normal,2013-01-27 22:52:00,10,cyro
72,2.0,Very High,93,High,Normal,grinder3,Normal,2013-01-27 23:22:00,10,cyro
73,2.0,Very High,94,High,High,Hectic5.0,Normal,2013-01-28 21:11:00,8,cyro
74,2.0,Very High,95,High,High,Hectic5.0,Normal,2013-01-31 19:58:00,8,southpaw
75,2.0,Very High,96,Normal,Normal,JellyFishing2k12,Domination,2013-01-31 19:59:00,6,southpaw
76,2.0,Very High,99,High,High,GoodCompany,Normal,2013-01-31 20:05:00,8,cyro
77,2.0,Very High,100,Normal,Normal,Clusterd1.3,Assassin,2013-01-31 20:52:00,10,cyro
78,,Very High,101,High,Normal,SmearUltimate,Normal,2013-01-31 21:30:00,10,cyro
79,2.0,Very High,102,High,Normal,grinder3,Normal,2013-01-31 22:09:00,10,cyro
80,2.0,Very High,103,High,High,Hectic5.0,Normal,2013-01-31 22:44:00,6,southpaw
81,2.0,Very High,104,Normal,Normal,koth.0.9b(250),Domination,2013-02-01 19:45:00,11,southpaw
82,2.0,Very High,105,High,High,Hectic5.0,Normal,2013-02-01 19:47:00,8,southpaw
83,2.0,High,106,High,Normal,Entice_0.5,Normal,2013-02-01 22:18:00,8,cyro
84,2.0,Very High,107,High,Normal,ZODIAC,Domination,2013-02-01 23:03:00,8,cyro
85,2.0,Very High,108,Normal,Normal,lnsight,Normal,2013-02-02 21:37:00,10,cyro
86,2.0,Very High,109,High,High,Stronghold2.0,Normal,2013-02-02 22:16:00,12,southpaw
87,2.0,Very High,110,Normal,Normal,Money-Regen,Assassin,2013-02-02 22:55:00,12,southpaw
88,2.0,Very High,111,Normal,Normal,koth.0.9b(250),Domination,2013-02-02 23:36:00,14,southpaw
89,2.0,Very High,113,High,Normal,grinder3,Normal,2013-02-03 23:01:00,10,cyro
90,2.0,Very High,114,High,High,Hectic5.0,Normal,2013-02-03 23:46:00,8,cyro
91,2.0,Very High,115,High,High,Hectic5.0,Normal,2013-02-04 22:43:00,10,southpaw
92,2.0,Very High,116,Normal,Normal,OneFlagV5.2,Normal,2013-02-04 22:44:00,10,southpaw
93,2.0,Very High,117,Normal,Normal,koth.0.9b(250),Domination,2013-02-04 22:45:00,12,southpaw
94,2.0,Very High,118,Normal,Normal,Motive.0.1,Domination,2013-02-04 22:46:00,12,southpaw
95,2.0,High,119,Normal,Normal,Frisky,Normal,2013-02-04 22:47:00,12,southpaw
96,2.0,High,120,Normal,Normal,Crowded,Normal,2013-02-06 19:35:00,6,cyro
97,2.0,Very High,121,Normal,Normal,OneFlagV5.2,Normal,2013-02-07 22:21:00,6,southpaw
98,2.0,Very High,122,High,High,Hectic5.0,Normal,2013-02-07 22:24:00,8,southpaw
99,2.0,Very High,123,High,High,Hectic5.0,Normal,2013-02-08 21:44:00,8,southpaw
100,2.0,High,124,Normal,Normal,Insight,Normal,2013-02-08 22:16:00,8,cyro
101,2.0,High,125,High,Normal,Entice_0.5,Normal,2013-02-08 22:56:00,10,cyro
102,2.0,High,126,Normal,Normal,Crowded,Normal,2013-02-08 23:29:00,8,cyro
103,2.0,Very High,127,Normal,Normal,Money-Regen,Assassin,2013-02-09 00:08:00,12,cyro
104,2.0,Very High,128,High,Normal,ZODIAC,Domination,2013-02-09 00:34:00,10,cyro
105,2.0,Very High,129,High,Normal,SmearUltimate,Normal,2013-02-09 01:33:00,8,cyro
106,2.0,Very High,130,High,High,Take-and-Hold,Normal,2013-02-09 23:56:00,9,cyro
107,2.0,Very High,131,High,High,Hectic5.0,Normal,2013-02-10 01:15:00,6,cyro
108,2.0,Very High,132,Normal,Normal,lnsight,Normal,2013-02-10 18:00:00,8,cyro
109,2.0,Very High,133,High,High,Hectic5.0,Normal,2013-02-10 18:36:00,10,cyro
110,2.0,Very High,134,Normal,Normal,koth.0.9b(250),Domination,2013-02-10 19:29:00,18,cyro
111,2.0,Very High,136,High,Normal,SmearUltimate,Normal,2013-02-10 20:09:00,14,cyro
112,2.0,Normal,137,Normal,Normal,testmap002,Normal,2013-02-10 20:52:00,8,cyro
113,2.0,Very High,138,Normal,Normal,NinjaWarz,Assassin,2013-02-10 21:56:00,14,cyro
114,2.0,Very High,139,High,Normal,SmearUltimate,Normal,2013-02-10 22:36:00,14,Dario
115,2.0,Very High,140,High,High,Hectic5.0,Normal,2013-02-10 23:51:00,12,Dario
116,2.0,Normal,141,Normal,Normal,SEL2012,Normal,2013-02-11 00:30:00,8,bot
117,2.0,Very High,142,Normal,Normal,Money-Regen,Assassin,2013-02-11 01:07:00,10,bot
118,2.0,High,143,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-11 01:38:00,8,bot
119,2.0,Normal,144,Normal,Normal,testmap002,Normal,2013-02-11 19:22:00,8,cyro
120,2.0,Very High,145,High,Normal,ZODIAC,Domination,2013-02-11 19:23:00,9,cyro
121,2.0,Very High,146,Normal,Normal,OneFlagV5.2,Normal,2013-02-11 20:12:00,8,southpaw
122,2.0,High,147,Normal,Normal,Plunders.0.1,Normal,2013-02-11 20:52:00,10,southpaw
123,2.0,Normal,148,Normal,Normal,smallflag,Normal,2013-02-11 21:44:00,8,southpaw
124,2.0,Very High,150,High,Normal,SmearUltimate,Normal,2013-02-11 23:47:00,18,bot
125,2.0,Very High,151,High,Normal,Trenches-XL,Normal,2013-02-12 00:18:00,16,bot
126,2.0,Very High,152,Normal,Normal,Money-Regen,Assassin,2013-02-12 00:55:00,16,bot
127,2.0,Very High,153,High,High,Hectic5.0,Normal,2013-02-12 01:13:00,10,bot
128,2.0,Normal,154,Normal,Normal,BFD,Normal,2013-02-12 01:43:00,8,Dario
129,2.0,Normal,155,Normal,Normal,BFD,Normal,2013-02-12 20:52:00,6,Dario
130,2.0,High,156,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-12 21:30:00,8,Dario
131,2.0,Very High,157,High,High,Take-and-Hold,Normal,2013-02-12 22:07:00,8,Dario
132,2.0,Very High,158,High,High,Hectic5.0,Normal,2013-02-12 23:08:00,10,Dario
133,2.0,Very High,159,Normal,Normal,Nutens.0.1,Domination,2013-02-12 23:39:00,14,Dario
134,2.0,Very High,160,High,Normal,grinder3,Normal,2013-02-13 23:14:00,14,cyro
135,2.0,High,161,Normal,Normal,BendyStraws,Normal,2013-02-14 00:00:00,12,cyro
136,2.0,High,162,Normal,Normal,Fister,Normal,2013-02-14 00:38:00,8,bot
137,2.0,High,163,High,Normal,Entice_0.5,Normal,2013-02-14 01:23:00,6,bot
138,2.0,Very High,164,High,High,GoodCompany,Normal,2013-02-14 22:02:00,8,cyro
139,2.0,Very High,165,Normal,Normal,Nutens.0.1,Domination,2013-02-14 23:08:00,16,cyro
140,2.0,High,166,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-14 23:46:00,10,cyro
141,2.0,Normal,167,Normal,Normal,BFD,Normal,2013-02-16 21:31:00,8,cyro
142,2.0,Very High,168,High,High,Hectic5.0,Normal,2013-02-16 21:55:00,6,cyro
143,2.0,High,169,High,Normal,Entice_0.5,Normal,2013-02-16 22:34:00,10,cyro
144,2.0,Very High,170,High,Normal,ZODIAC,Domination,2013-02-16 23:10:00,10,cyro
145,2.0,Very High,171,High,High,Hectic5.0,Normal,2013-02-17 13:07:00,12,cyro
146,2.0,High,172,Normal,Normal,Crowded,Normal,2013-02-17 18:40:00,8,cyro
147,2.0,Normal,173,Normal,Normal,BFD,Normal,2013-02-17 19:08:00,13,Dario
148,2.0,Normal,174,Normal,Normal,bubblek2,Normal,2013-02-17 20:56:00,8,20LbGenitals
149,2.0,Normal,175,Normal,Normal,challenge_v3,Normal,2013-02-17 22:46:00,10,cyro
150,2.0,Very High,176,High,High,Hectic5.0,Normal,2013-02-17 23:33:00,12,southpaw
151,2.0,Very High,177,Normal,Normal,koth.0.9b(250),Domination,2013-02-18 00:19:00,13,southpaw
152,2.0,Very High,179,High,Normal,SmearUltimate,Normal,2013-02-18 00:59:00,12,southpaw
153,2.0,Very High,180,High,Normal,grinder3,Normal,2013-02-18 01:36:00,8,Dario
154,2.0,Normal,181,Normal,Normal,BFD,Normal,2013-02-18 19:48:00,8,Dario
155,2.0,Very High,182,Normal,Normal,koth.0.9b(250),Domination,2013-02-18 21:01:00,14,20LbGenitals
156,2.0,Very High,184,High,Normal,BaitandSwitch-XL,Normal,2013-02-18 22:34:00,12,20LbGenitals
157,2.0,Very High,186,High,Normal,SmearUltimate,Normal,2013-02-18 23:04:00,14,southpaw
158,2.0,High,187,Normal,Normal,GGv3,Normal,2013-02-18 23:37:00,12,southpaw
159,2.0,Normal,188,Normal,Normal,SEL2012,Normal,2013-02-18 23:42:00,14,20LbGenitals
160,2.0,Very High,189,High,Normal,Trenches-XL,Normal,2013-02-19 22:20:00,18,20LbGenitals
161,2.0,Very High,190,High,Normal,BaitOrSwitch,Normal,2013-02-19 23:00:00,13,20LbGenitals
162,2.0,Very High,191,Normal,Normal,Nutens.0.1,Domination,2013-02-19 23:39:00,14,20LbGenitals
163,2.0,Very High,192,Normal,Normal,Ninja-Gucci,Assassin,2013-02-20 00:22:00,12,20LbGenitals
164,2.0,Very High,193,High,High,Hectic5.0,Normal,2013-02-20 00:59:00,10,20LbGenitals
165,2.0,High,194,High,Normal,Entice_0.5,Normal,2013-02-21 17:08:00,10,20LbGenitals
166,2.0,Very High,195,Normal,Normal,OneFlagV5.2,Normal,2013-02-21 17:45:00,8,20LbGenitals
167,2.0,Very High,196,High,High,Hectic5.0,Normal,2013-02-21 18:25:00,12,southpaw
168,2.0,High,197,Normal,Normal,Insight,Normal,2013-02-21 20:15:00,6,bot
169,2.0,Normal,198,Normal,Normal,BFD,Normal,2013-02-21 22:37:00,10,Dario
170,2.0,High,199,Normal,Normal,GG_remix,Normal,2013-02-21 23:34:00,14,20LbGenitals
171,2.0,High,200,High,Normal,Entice_0.5,Normal,2013-02-22 00:07:00,8,20LbGenitals
172,2.0,Very High,202,Normal,Normal,lnsight,Normal,2013-02-22 19:52:00,8,cyro
173,2.0,High,204,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-22 21:19:00,8,cyro
174,2.0,Very High,205,High,High,GoodCompany,Normal,2013-02-22 21:53:00,12,cyro
175,2.0,Very High,206,High,High,Stronghold2.0,Normal,2013-02-22 22:38:00,12,cyro
176,2.0,Very High,207,High,High,Waffles,Assassin,2013-02-22 23:16:00,12,cyro
177,2.0,High,208,Normal,Normal,Fister,Normal,2013-02-23 15:23:00,6,southpaw
178,2.0,Very High,209,High,High,Hectic5.0,Normal,2013-02-23 16:05:00,10,southpaw
179,2.0,High,210,Normal,Normal,Plunders.0.1,Normal,2013-02-23 17:12:00,8,southpaw
180,2.0,Very High,211,High,Normal,Trenches-XL,Normal,2013-02-23 18:00:00,12,southpaw
181,2.0,Very High,212,High,Normal,SmearUltimate,Normal,2013-02-23 18:40:00,12,southpaw
182,1.0,Very High,213,Normal,Normal,FFDeath-O-Matic,Normal,2013-02-23 19:15:00,13,southpaw
183,2.0,Very High,214,High,High,Stronghold2.0,Normal,2013-02-23 20:01:00,14,southpaw
184,2.0,Very High,215,Normal,Normal,Money-Regen,Assassin,2013-02-23 21:11:00,12,20LbGenitals
185,2.0,Very High,216,Normal,Normal,koth.0.9b(250),Domination,2013-02-23 21:49:00,12,20LbGenitals
186,2.0,Normal,217,Normal,Normal,bubblek2,Normal,2013-02-23 22:33:00,12,20LbGenitals
187,2.0,High,218,Normal,Normal,Insight,Normal,2013-02-23 23:12:00,8,20LbGenitals
188,2.0,Very High,219,High,Normal,grinder3,Normal,2013-02-23 23:51:00,12,20LbGenitals
189,2.0,High,220,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-24 00:21:00,8,20LbGenitals
190,2.0,Very High,221,High,High,Take-and-Hold,Normal,2013-02-24 00:55:00,8,20LbGenitals
191,2.0,High,222,Normal,Normal,Insight,Normal,2013-02-24 13:38:00,8,20LbGenitals
192,2.0,High,223,Normal,Normal,Enjoyment5.02,Normal,2013-02-24 13:42:00,6,20LbGenitals
193,2.0,High,224,Normal,Normal,GGv3,Normal,2013-02-24 14:20:00,10,20LbGenitals
194,2.0,Very High,225,High,High,Hectic5.0,Normal,2013-02-24 14:59:00,12,20LbGenitals
195,2.0,Very High,226,High,High,Waffles,Assassin,2013-02-24 17:09:00,14,20LbGenitals
196,2.0,Very High,227,High,Normal,Trenches-XL,Normal,2013-02-24 17:48:00,14,20LbGenitals
197,2.0,Very High,228,Normal,Normal,koth.0.9b(250),Domination,2013-02-24 18:36:00,12,20LbGenitals
